pk2,isin,fecha,flujo_moneda_local,flujo_usd,balance_sheet,moneda_local,source,job_id,fetched_at
30425-1,USP40070AB35,2025-03-20,61188.96,61188.96,Asset,USD,BBG,1,2025-12-19T19:16:38.133121
30425-1,USP40070AB35,2025-09-20,60334.11,60334.11,Asset,USD,BBG,1,2025-12-19T19:16:38.141371
30425-1,USP40070AB35,2026-03-20,64429.752,64429.752,Asset,USD,BBG,1,2025-12-19T19:16:38.147972
30425-1,USP40070AB35,2026-09-20,63468.044,63468.044,Asset,USD,BBG,1,2025-12-19T19:16:38.154431
30425-1,USP40070AB35,2027-03-20,107060.792,107060.792,Asset,USD,BBG,1,2025-12-19T19:16:38.161424
30425-1,USP40070AB35,2027-06-20,750588.49,750588.49,Asset,USD,BBG,1,2025-12-19T19:16:38.168480
174399-1,USP2253TJW01,2026-03-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.349147
174399-1,USP2253TJW01,2026-09-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.355140
174399-1,USP2253TJW01,2027-03-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.362140
174399-1,USP2253TJW01,2027-09-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.368911
174399-1,USP2253TJW01,2028-03-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.374984
174399-1,USP2253TJW01,2028-09-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.381414
174399-1,USP2253TJW01,2029-03-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.387414
174399-1,USP2253TJW01,2029-09-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.393462
174399-1,USP2253TJW01,2030-03-10,36000.0,36000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.399675
174399-1,USP2253TJW01,2030-06-10,1018000.0,1018000.0,Asset,USD,BBG,2,2025-12-19T19:25:24.405931
146644-1,USP7464EAS56,2026-03-10,39750.0,39750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.088883
146644-1,USP7464EAS56,2026-09-10,39750.0,39750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.099883
146644-1,USP7464EAS56,2027-03-10,39750.0,39750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.109904
146644-1,USP7464EAS56,2027-09-10,39750.0,39750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.119916
146644-1,USP7464EAS56,2028-03-10,39750.0,39750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.126917
146644-1,USP7464EAS56,2028-09-10,39750.0,39750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.136012
146644-1,USP7464EAS56,2029-03-10,39750.0,39750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.145109
146644-1,USP7464EAS56,2029-09-10,1039750.0,1039750.0,Asset,USD,BBG,3,2025-12-19T20:38:03.153451
159225-1,USP989MJBY67,2026-01-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.367517
159225-1,USP989MJBY67,2026-07-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.374523
159225-1,USP989MJBY67,2027-01-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.380867
159225-1,USP989MJBY67,2027-07-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.387005
159225-1,USP989MJBY67,2028-01-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.392423
159225-1,USP989MJBY67,2028-07-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.397856
159225-1,USP989MJBY67,2029-01-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.402868
159225-1,USP989MJBY67,2029-07-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.408868
159225-1,USP989MJBY67,2030-01-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.413877
159225-1,USP989MJBY67,2030-07-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.418796
159225-1,USP989MJBY67,2031-01-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.424810
159225-1,USP989MJBY67,2031-07-17,41250.0,41250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.429816
159225-1,USP989MJBY67,2032-01-17,341250.0,341250.0,Asset,USD,BBG,4,2025-12-19T20:39:58.437316
159225-1,USP989MJBY67,2032-07-17,28875.0,28875.0,Asset,USD,BBG,4,2025-12-19T20:39:58.442315
159225-1,USP989MJBY67,2033-01-17,328875.0,328875.0,Asset,USD,BBG,4,2025-12-19T20:39:58.447315
159225-1,USP989MJBY67,2033-07-17,16500.0,16500.0,Asset,USD,BBG,4,2025-12-19T20:39:58.452550
159225-1,USP989MJBY67,2034-01-17,416500.0,416500.0,Asset,USD,BBG,4,2025-12-19T20:39:58.458672
35910-1,USP4983GAS95,2025-12-29,1035194.444,1035194.444,Asset,USD,BBG,5,2025-12-22T18:25:17.113067
146583-1,US05956NAF96,2026-03-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.852593
146583-1,US05956NAF96,2026-09-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.859813
146583-1,US05956NAF96,2027-03-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.859813
146583-1,US05956NAF96,2027-09-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.859813
146583-1,US05956NAF96,2028-03-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.875755
146583-1,US05956NAF96,2028-09-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.875755
146583-1,US05956NAF96,2029-03-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.893305
146583-1,US05956NAF96,2029-09-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.893305
146583-1,US05956NAF96,2030-03-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.907288
146583-1,US05956NAF96,2030-09-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.907288
146583-1,US05956NAF96,2031-03-12,37500.0,37500.0,Asset,USD,BBG,6,2025-12-22T18:33:12.922951
