pk2,ticker_bbg,trade_date,market_cap_usd,job_id,fetched_at
196-1,MELI US Equity,2024-12-30,87290.7403,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2024-12-31,86207.8443,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-02,89480.8669,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-03,92987.6043,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-06,91225.8705,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-07,89796.2045,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-08,88162.7351,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-10,89165.0222,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-13,88213.4325,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-14,88903.4238,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-15,93189.3799,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-16,93140.2034,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-17,93080.3805,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-21,93004.8414,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-22,92192.6695,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-23,92711.8106,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-24,93458.0759,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-27,93587.3543,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-28,96098.3952,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-29,95805.8714,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-30,98724.0123,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-01-31,97449.9873,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-03,96776.2191,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-04,99691.8252,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-05,100136.9481,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-06,102043.6764,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-07,101224.9138,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-10,103535.1932,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-11,103178.2837,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-12,102242.9171,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-13,104748.3814,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-14,106970.9543,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-18,106401.1158,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-19,105237.1041,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-20,106995.289,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-21,114576.0675,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-24,112718.0087,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-25,109942.3274,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-26,111414.5792,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-27,107975.2693,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-02-28,107573.2391,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-03,104964.3522,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-04,104430.0018,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-05,107111.893,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-06,103688.8062,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-07,101868.2635,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-10,98586.6224,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-11,100893.353,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-12,101639.6183,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-13,100872.567,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-14,102478.1529,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-17,106791.9925,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-18,101536.7027,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-19,104737.7349,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-20,104820.3716,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-21,106224.6889,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-24,108203.9144,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-25,111093.1578,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-26,105195.5322,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-27,106254.0934,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-28,103831.7728,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-03-31,98903.988,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-01,97085.4731,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-02,98050.2442,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-03,98634.2779,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-04,93348.5696,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-07,90988.0998,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-08,92578.9835,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-09,100414.2628,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-10,98048.2163,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-11,101240.123,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-14,103276.6366,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-15,107393.2634,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-16,104658.14,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-17,106432.5482,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-21,104255.6029,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-22,107900.7441,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-23,108488.3267,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-24,111778.0794,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-25,112844.7521,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-28,111960.083,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-29,115633.6147,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-04-30,118167.9765,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-01,116326.1409,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-02,115624.9962,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-05,113893.6808,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-06,113004.4489,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-07,114682.025,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-08,122180.6738,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-09,124208.5688,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-12,126977.1524,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-13,127509.9818,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-14,129988.0695,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-15,131128.2535,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-16,131048.6586,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-19,130715.5768,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-20,130759.1766,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-21,131913.0488,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-22,132117.8662,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-23,127140.3979,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-27,129540.4117,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-28,129314.3014,118,2025-12-30T18:43:47.784303
196-1,MELI US Equity,2025-05-29,129049.6611,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-05-30,129952.0744,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-02,131480.6002,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-03,131927.7511,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-04,130493.0154,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-05,130887.4409,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-06,125850.6567,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-09,124137.5924,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-10,121493.2173,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-11,121014.6341,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-12,120092.9558,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-13,120253.1596,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-16,124449.8883,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-17,121140.3636,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-18,121813.1178,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-20,121866.857,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-23,124355.0842,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-24,128211.1265,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-25,128796.6812,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-26,129795.4195,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-27,129787.8149,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-06-30,132504.1802,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-01,126814.4138,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-02,125326.4459,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-03,127455.7356,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-07,126798.1907,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-08,125557.1189,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-09,125581.4537,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-10,121780.1645,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-11,121037.4479,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-14,120672.4268,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-15,121166.7263,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-16,121934.7915,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-17,119196.6263,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-18,122361.6634,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-21,120612.097,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-22,120899.0441,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-23,121391.3156,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-24,121219.9585,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-25,119775.5903,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-28,119347.1975,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-29,120908.1696,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-30,120730.2219,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-07-31,120349.9915,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-01,120452.9072,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-04,121462.2919,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-05,122080.2929,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-06,117476.9713,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-07,118369.2451,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-08,119326.4115,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-11,116200.4114,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-12,119180.9101,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-13,117988.0008,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-14,117607.7705,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-15,121283.3302,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-18,119849.1015,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-19,118780.9078,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-20,118428.0541,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-21,118502.0722,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-22,123226.0536,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-25,122066.0977,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-26,121954.0565,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-27,122354.5657,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-28,125338.6132,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-08-29,125370.0456,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-02,120647.5851,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-03,120310.9546,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-04,122576.1133,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-05,122560.3971,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-08,118984.7112,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-09,120305.3778,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-10,119087.6269,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-11,118540.6022,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-12,118599.4112,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-15,118419.9425,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-16,121173.8239,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-17,124022.0024,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-18,125545.4585,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-19,124327.2006,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-22,124749.0028,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-23,126456.9973,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-24,127299.5877,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-25,126350.5328,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-26,125142.4144,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-29,126809.8511,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-09-30,118476.7235,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-01,110363.6226,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-02,113896.7227,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-03,110152.7215,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-06,109213.2992,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-07,110904.0566,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-08,110514.7008,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-09,115336.5281,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-10,108171.4681,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-13,110312.9252,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-14,109395.8097,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-15,103845.9681,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-16,103577.779,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-17,102661.1704,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-20,106571.459,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-21,108596.3121,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-22,106221.6471,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-23,108914.1847,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-24,109562.6041,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-27,115707.6329,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-28,116104.0864,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-29,116397.1172,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-30,119683.8794,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-10-31,117985.5238,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-03,117434.9524,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-04,116891.9856,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-05,116698.8293,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-06,107900.3334,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-07,106900.078,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-10,106060.5326,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-11,106442.2824,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-12,106662.3082,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-13,102968.5115,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-14,103872.9492,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-17,104320.6053,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-18,104375.8653,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-19,105307.1725,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-20,96311.9715,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-21,98949.7459,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-24,101846.5829,118,2025-12-30T18:43:47.790573
196-1,MELI US Equity,2025-11-25,104182.709,118,2025-12-30T18:43:47.790573
